Ramal;Tempo_Chamadas;QTD_Chamadas;Data
100;0.62;9;17-04-2025
101;10.40;6;17-04-2025
102;5.13;10;17-04-2025
103;0.67;6;17-04-2025
106;0.70;7;17-04-2025
107;12.45;77;17-04-2025
108;4.12;38;17-04-2025
110;0.07;3;17-04-2025
111;2.23;32;17-04-2025
112;7.55;80;17-04-2025
113;0.00;8;17-04-2025
114;4.37;22;17-04-2025
118;7.65;99;17-04-2025
120;0.12;21;17-04-2025
122;0.85;7;17-04-2025
123;1.85;47;17-04-2025
124;4.40;45;17-04-2025
125;0.50;11;17-04-2025
128;0.22;14;17-04-2025
129;0.60;28;17-04-2025
131;0.30;7;17-04-2025
136;6.90;67;17-04-2025
137;4.72;68;17-04-2025
139;5.27;30;17-04-2025
140;1.33;16;17-04-2025
141;8.33;101;17-04-2025
142;5.45;26;17-04-2025
143;4.33;103;17-04-2025
